x,y,i,j
-9,21,0,3
-3,21,0,4
3,21,0,5
9,21,0,6
-15,15,1,2
-9,15,1,3
-3,15,1,4
3,15,1,5
9,15,1,6
15,15,1,7
-21,9,2,1
-15,9,2,2
-9,9,2,3
-3,9,2,4
3,9,2,5
9,9,2,6
15,9,2,7
21,9,2,8
-27,3,3,0
-21,3,3,1
-15,3,3,2
-9,3,3,3
-3,3,3,4
3,3,3,5
9,3,3,6
21,3,3,8
-27,-3,4,0
-21,-3,4,1
-15,-3,4,2
-9,-3,4,3
-3,-3,4,4
3,-3,4,5
9,-3,4,6
21,-3,4,8
-21,-9,5,1
-15,-9,5,2
-9,-9,5,3
-3,-9,5,4
3,-9,5,5
9,-9,5,6
15,-9,5,7
21,-9,5,8
-15,-15,6,2
-9,-15,6,3
-3,-15,6,4
3,-15,6,5
9,-15,6,6
15,-15,6,7
-9,-21,7,3
-3,-21,7,4
3,-21,7,5
9,-21,7,6
